温度 t/℃,绝对压强 p/kPa,水蒸汽的密度 ρ/kg·m-3,液体焓 H/kJ·kg-1,汽化热 r/kJ·kg-1,水蒸汽焓 H/kJ·kg-1
0,0.6082,0.00484,0,2491.1,2491.1
5,0.873,0.0068,20.94,2479.86,2500.8
10,1.2262,0.0094,41.87,2468.53,2510.4
15,1.7068,0.01283,62.8,2457.7,2520.5
20,2.3346,0.01719,83.74,2446.3,2530.1
25,3.1684,0.02304,104.67,2435,2539.7
30,4.2474,0.03036,125.6,2423.7,2549.3
35,5.6207,0.0396,146.54,2412.1,2559
40,7.3766,0.05114,167.47,2401.1,2568.6
45,9.5837,0.06543,188.41,2389.4,2577.8
50,12.34,0.083,209.34,2378.1,2587.4
55,15.743,0.1043,230.27,2366.4,2596.7
60,19.923,0.1301,251.21,2355.1,2606.3
65,25.014,0.1611,272.14,2343.1,2615.5
70,31.164,0.1979,293.08,2331.2,2624.3
75,38.551,0.2416,314.01,2319.5,2633.5
80,47.379,0.2929,334.94,2307.8,2642.3
85,57.875,0.3531,355.88,2295.2,2651.1
90,70.136,0.4229,376.81,2283.1,2659.9
95,84.556,0.5039,397.75,2270.5,2668.7
100,101.33,0.597,418.68,2258.4,2677
105,120.85,0.7036,440.03,2245.4,2685
110,143.31,0.8254,460.97,2232,2693.4
115,169.11,0.9635,482.32,2219,2701.3
120,198.64,1.1199,503.67,2205.2,2708.9
125,232.19,1.296,525.02,2191.8,2716.4
130,270.25,1.494,546.38,2177.6,2723.9
135,313.11,1.715,567.73,2163.3,2731
140,361.47,1.962,589.08,2148.7,2737.7
145,415.72,2.238,610.85,2134,2744.4
150,476.24,2.543,632.21,2118.5,2750.7
160,618.28,3.252,675.75,2037.1,2762.9
170,792.59,4.113,719.29,2054,2773.3
180,1003.5,5.145,763.25,2019.3,2782.5
190,1255.6,6.378,807.64,1982.4,2790.1
200,1554.77,7.84,852.01,1943.5,2795.5
210,1917.72,9.567,897.23,1902.5,2799.3
220,2320.88,11.6,942.45,1858.5,2801
230,2798.59,13.98,988.5,1811.6,2800.1
240,3347.91,16.76,1034.56,1761.8,2796.8
250,3977.67,20.01,1081.45,1708.6,2790.1
260,4693.75,23.82,1128.76,1651.7,2780.9
270,5503.99,28.27,1176.91,1591.4,2768.3
280,6417.24,33.47,1225.48,1526.5,2752
290,7443.29,39.6,1274.46,1457.4,2732.3
300,8592.94,46.93,1325.54,1382.5,2708
310,9877.96,55.59,1378.71,1301.3,2680
320,11300.3,65.95,1436.07,1212.1,2648.2
330,12879.6,78.53,1446.78,1116.2,2610.5
340,14615.8,93.98,1562.93,1005.7,2568.6
350,16538.5,113.2,1636.2,880.5,2516.7
360,18667.1,139.6,1729.15,713,2442.6
370,21040.9,171,1888.25,411.1,2301.9
374,22070.9,322.6,2098,0,2098
